Dataset,Algorithm,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_count,Accuracy_mean,Accuracy_std,Accuracy_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_macro_mean,F1_macro_std,F1_macro_count,MCC_mean,MCC_std,MCC_count
magic,EBM,0.9348429291319688,0.008104755228638067,30,0.8828666666666667,0.010274619997447804,30,0.882582696650426,0.010490368494362922,30,0.8568924189432664,0.013575426020771409,30,0.8671949953185212,0.01226785791720059,30,0.7389906262659208,0.023294319271795882,30
magic,FIGS,0.8651438463315299,0.01125408623613074,30,0.8292333333333333,0.011009974578984495,30,0.825349924598206,0.014535688530283872,30,0.791582597983728,0.0135438322639818,30,0.8032951510816749,0.013159725996396884,30,0.6158943829612097,0.025439672473823175,30
magic,KNN_k5,0.8643670540131557,0.013004792853303785,30,0.8315333333333332,0.00968017288721832,30,0.838772859094017,0.011926735838246633,30,0.7847339682706914,0.012249233337423145,30,0.8010484746796003,0.012250874027629024,30,0.6211055527124117,0.022933948922121538,30
magic,LightGBM,0.931830349746508,0.008081867719170719,30,0.8788666666666667,0.008365501132353166,30,0.8765557372706344,0.009014505077825096,30,0.8538545185720328,0.011075479488983056,30,0.8631220443410257,0.0099701618843462,30,0.7300236740571729,0.019063226082892883,30
magic,LogReg,0.8405899107713797,0.014418657268994583,30,0.7857333333333334,0.011887209391881565,30,0.7649346678115326,0.012819784439024174,30,0.7699241501331896,0.0148169701186927,30,0.7670288522263314,0.013510848799707173,30,0.5348200327951432,0.027359726694491052,30
magic,MLP,0.9235139164079277,0.00837066386331605,30,0.8683,0.007688549479807505,30,0.8685185366654381,0.011226954461248008,30,0.838274414850686,0.00925882834697172,30,0.8497766397982804,0.008724878047352115,30,0.706074218782924,0.017691805367857208,30
magic,RandomForest,0.9301539527181336,0.008936959017256687,30,0.8715666666666666,0.011125253451846227,30,0.8621801991121477,0.01169506746417916,30,0.8533870312570877,0.014369825203802802,30,0.8572848758441598,0.012948455468928007,30,0.7154835192150503,0.0254328551333351,30
magic,RuleFit,0.889390882112238,0.013802787246939181,30,0.8271666666666666,0.011033126712653626,30,0.8612171030624236,0.010939619487788885,30,0.7648176991453828,0.015568038870312372,30,0.7861116305027558,0.01593441998028486,30,0.6184213859931653,0.02538891505040998,30
magic,SVM_RBF,0.913990135459853,0.01150238211953388,30,0.8625666666666666,0.00992622209390216,30,0.8504562718842597,0.010558603229671327,30,0.8466083803202447,0.012843013017824104,30,0.8482910333848931,0.011444564754176063,30,0.6970266117691463,0.022692972917964533,30
magic,TabPFN,0.9507477222171008,0.006467055405035522,30,0.9014333333333333,0.007045092854841125,30,0.9034755409765586,0.006950379324695671,30,0.8780951776827484,0.009912939358174258,30,0.8884775802166215,0.008491835196381563,30,0.7811267747349216,0.015808056200613707,30
magic,XGBoost,0.9276686368998234,0.008389246902350201,30,0.8771333333333333,0.007646199566849668,30,0.873849470770876,0.007590238084568067,30,0.8526959150913953,0.010979936246206834,30,0.8613889064384173,0.009350075162606854,30,0.7262004909020273,0.017576577107305518,30
mfeat-factors,CBM,0.9971601851851852,0.002830690331893101,30,0.9691666666666666,0.023009867948089267,30,0.969218804859634,0.02939647975011774,30,0.9691666666666666,0.02300986794808928,30,0.9680980888802708,0.02765402501535734,30,0.966261996862609,0.02400763853198569,30
mfeat-factors,CBM_KE,0.9970564814814814,0.0028430687238784518,30,0.9758333333333333,0.0109924216318941,30,0.9771011749127915,0.0104465575677952,30,0.9758333333333333,0.01099242163189411,30,0.9758362599870049,0.010998475900240345,30,0.97329067691277,0.012151439230324754,30
mfeat-factors,CatBoost,0.9987657407407408,0.0012998813543570501,30,0.97,0.01286535041805354,30,0.9712755758522349,0.01223106359938982,30,0.97,0.012865350418053556,30,0.9699460655338793,0.012846475536668884,30,0.9668223153960843,0.014224924753514237,30
mfeat-factors,DT_depth3,0.7904097222222222,0.012553260707064284,30,0.43633333333333335,0.017856387504549855,30,0.44915565293462606,0.04571010902278692,30,0.43633333333333335,0.017856387504549848,30,0.38455866261971594,0.01739808256640259,30,0.4660572234762418,0.020805511287099482,30
mfeat-factors,DT_depth5,0.8760125,0.014290517870081022,30,0.5933333333333334,0.029135040324541266,30,0.6572032440842028,0.04992930625162687,30,0.5933333333333334,0.029135040324541246,30,0.5747776895590424,0.02763423293821013,30,0.6051255647046855,0.025954203381245825,30
mfeat-factors,EBM,0.998512962962963,0.001694448108364413,30,0.9786666666666667,0.011366415543118714,30,0.9796737209734921,0.01084919708463611,30,0.9786666666666667,0.011366415543118723,30,0.9786570156357899,0.011313277158736167,30,0.9764123068326706,0.012580138619991665,30
mfeat-factors,FIGS,0.9786333333333332,0.008514890514418927,30,0.8714999999999999,0.024884214633599258,30,0.8899116743872202,0.02089531165834639,30,0.8714999999999999,0.024884214633599237,30,0.8749690986083667,0.02347852790625229,30,0.8589171840898231,0.02716253490757314,30
mfeat-factors,KNN_k5,0.9949782407407407,0.0041568861636250825,30,0.9673333333333333,0.013628907749221217,30,0.9690046545165,0.012852842885526348,30,0.9673333333333333,0.013628907749221228,30,0.9673079789513351,0.013669048553216392,30,0.9638976675300192,0.015045507982639997,30
mfeat-factors,LightGBM,0.9987296296296296,0.0012315676613561441,30,0.9701666666666667,0.012211027614508914,30,0.9715060193853099,0.011708718081796481,30,0.9701666666666667,0.012211027614508919,30,0.9701725367282581,0.012171237820778653,30,0.9670024588853967,0.013516004642071113,30
mfeat-factors,LogReg,0.9985370370370371,0.0016372618934470614,30,0.9786666666666667,0.011366415543118721,30,0.9797289688868637,0.01097857232353899,30,0.9786666666666667,0.01136641554311873,30,0.9786507188163157,0.011360511404060473,30,0.9764196122304033,0.01258592632759813,30
mfeat-factors,MLP,0.9986814814814815,0.0012258899455697574,30,0.9706666666666666,0.013501809159320569,30,0.9721555395243643,0.012748469251329947,30,0.9706666666666666,0.013501809159320578,30,0.9705881820776886,0.013584786137270157,30,0.9675895358328581,0.01490044881257638,30
mfeat-factors,RandomForest,0.9984625,0.0016139827344600172,30,0.9695,0.011473357443855881,30,0.9709577847781509,0.010998870254733015,30,0.9694999999999999,0.011473357443855891,30,0.9695052016912035,0.011433115281359147,30,0.9662760178292209,0.012700134782993304,30
mfeat-factors,RuleFit,0.9966777777777778,0.0025361435814332156,30,0.9583333333333334,0.015218712015223176,30,0.96003837255148,0.014307844518481848,30,0.9583333333333334,0.01521871201522319,30,0.9583715033781159,0.015090308069724856,30,0.9538878420717322,0.016833462666288608,30
mfeat-factors,SVM_RBF,0.999362037037037,0.0007247407947162972,30,0.9774999999999999,0.010966249162300445,30,0.9786229451538376,0.010557218803226968,30,0.9774999999999999,0.010966249162300445,30,0.9775272134121882,0.010932450953092726,30,0.975122298950442,0.012144040532879761,30
mfeat-factors,TabPFN,0.9998296296296297,0.00024279017623256207,30,0.988,0.007381243704193056,30,0.9885613275613276,0.006999490193548066,30,0.988,0.007381243704193056,30,0.9879940642726266,0.007388696245923493,30,0.986731173894253,0.008156356918182804,30
mfeat-factors,XGBoost,0.9984666666666667,0.0013394336819475023,30,0.9655,0.012272059659073605,30,0.9671731827210693,0.011710332637933049,30,0.9655,0.012272059659073615,30,0.9655266441789713,0.012163898021011754,30,0.9618530249674598,0.013587599400906033,30
optdigits,CBM,0.9986549496874791,0.001259223664020933,30,0.984994068801898,0.005773982984226011,30,0.985275641069572,0.005633702104503865,30,0.9849988273976478,0.005781234518898852,30,0.9850059838869557,0.005788926543550982,30,0.9833554675631473,0.006397901664571183,30
optdigits,CBM_KE,0.9987232938932465,0.0011186752354548385,30,0.9865361803084223,0.004871482628639383,30,0.9868324111182678,0.00475697974670182,30,0.9865351093250366,0.004875623326856679,30,0.9865454256851625,0.004879800190088831,30,0.9850705868815562,0.005398718917382508,30
optdigits,CatBoost,0.9997679699217242,0.0001278804105128747,30,0.9836298932384342,0.0058251242129847315,30,0.9839223813480764,0.005746054028739888,30,0.983623392336641,0.005829924782371037,30,0.9836389692113943,0.005828125648013814,30,0.9818405928924155,0.006463371735401225,30
optdigits,DT_depth3,0.7970442592587769,0.010232554713257078,30,0.4092526690391459,0.03919886198415112,30,0.4127608207795829,0.023644086548644465,30,0.4121113389534442,0.03940305778735624,30,0.34018234232721933,0.040267958477259384,30,0.3977579343818995,0.044955743781072185,30
