Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,Train time [s],wall_s,Train size,Test size,Number of classes,n_trials,num_concepts,rule_budget,concept_dropout_p,lambda_concept,kd_alpha_hard,kd_temperature
44,bank,CBM_KE,6,OK,0.903,0.9118927406237366,0.7732862064868717,0.7595266973175754,0.7661382677355193,0.5326352094707476,2829.4097652435303,2829.4,9000,1000,2,40,3,4,0.0,0.05180068709382614,0.24489775328985336,4.169180711585749
44,bank,CBM_KE,7,OK,0.893,0.9158510328227982,0.7490556318681318,0.7182043832679886,0.7320813771517998,0.4662404124535106,2663.794334411621,2663.8,9000,1000,2,40,3,4,0.0,0.05180068709382614,0.24489775328985336,4.169180711585749
44,bank,CBM_KE,8,OK,0.897,0.8631709587340988,0.7691672362724995,0.677718857830555,0.7100151749340495,0.4374292802076959,2596.3053028583527,2596.3,9000,1000,2,40,10,6,0.0,2.894438002362208,0.5405508450051104,1.5710214278742023
44,bank,CBM,0,OK,0.886,0.8018276515151516,0.7301136363636364,0.7301136363636364,0.7301136363636364,0.4602272727272727,2703.117885828018,2703.1,9000,1000,2,40,7,16,0.0,4.084071434829101,,
44,bank,CBM,1,OK,0.891,0.8137215909090909,0.7422857142857143,0.7509469696969697,0.7464968893540322,0.49315663151118955,2823.599864721298,2823.6,9000,1000,2,40,11,3,0.0,4.719586066001756,,
44,bank,CBM,3,OK,0.896,0.7019791666666667,0.7558939318521201,0.7142045454545454,0.7322871940608944,0.468246274334179,2654.5602192878723,2654.6,9000,1000,2,40,6,13,0.0,3.772251445561888,,
44,bank,CBM,4,OK,0.88,0.8105943079570135,0.7287606604971875,0.7963312930734587,0.7552039559040726,0.5207261941921879,2769.033100128174,2769.0,9000,1000,2,40,9,12,0.0,4.255531654463596,,
44,bank,CBM,5,OK,0.885,0.8839684464878383,0.7417380907600957,0.8383728692447278,0.7763476995902301,0.5720056341548952,2875.5717356204987,2875.6,9000,1000,2,40,7,17,0.0,2.1932303376120674,,
44,bank,CBM,6,OK,0.877,0.7833093579292773,0.7150735294117647,0.7376103573745523,0.72541639598974,0.45212254173104743,2253.008146047592,2253.0,9000,1000,2,40,10,8,0.0,0.5894188444823693,,
44,bank,CBM,9,OK,0.871,0.8552167658590245,0.6940814225179202,0.684309743416166,0.6889880055451751,0.3782649716065306,2711.917601585388,2711.9,9000,1000,2,40,7,16,0.0,4.084071434829101,,
44,blood,CBM_KE,0,OK,0.8266666666666667,0.7694931773879142,0.9071428571428571,0.6388888888888888,0.6662102019856213,0.47559486560567094,224.47074699401855,224.5,673,75,2,40,3,4,0.0,0.43414741475765783,0.22610855518472492,1.5305113169181603
44,blood,CBM_KE,1,OK,0.7733333333333333,0.6345029239766082,0.6928571428571428,0.5657894736842105,0.563505648750428,0.2252817784447915,221.16681027412415,221.2,673,75,2,40,3,4,0.0,0.43414741475765783,0.22610855518472492,1.5305113169181603
44,blood,CBM_KE,2,OK,0.8133333333333334,0.7607212475633528,0.7854477611940298,0.6491228070175439,0.674317617866005,0.41263432434118835,228.8996102809906,228.9,673,75,2,40,3,7,0.0,3.323962353060542,0.3287496780469381,3.96071380573242
44,blood,CBM_KE,3,OK,0.76,0.7149122807017543,0.6652542372881356,0.652046783625731,0.657707910750507,0.31702602580977074,232.58083152770996,232.6,673,75,2,40,2,3,0.0,0.05180068709382614,0.24489775328985336,4.169180711585749
